datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 16:25:28.591,0.73,109,0.13,2023-05-18 16:25:28.591
2023-05-18 16:25:34.339,0.74,109,0.13,2023-05-18 16:25:34.339
2023-05-18 16:25:40.455,0.73,109,0.13,2023-05-18 16:25:40.455
2023-05-18 16:25:47.857,0.73,109,0.13,2023-05-18 16:25:47.857
2023-05-18 16:25:53.630,0.73,109,0.13,2023-05-18 16:25:53.630
2023-05-18 16:25:59.565,0.73,109,0.13,2023-05-18 16:25:59.565
2023-05-18 16:26:05.544,0.73,109,0.13,2023-05-18 16:26:05.544
2023-05-18 16:26:11.475,0.73,109,0.13,2023-05-18 16:26:11.475
2023-05-18 16:26:20.470,0.74,109,0.13,2023-05-18 16:26:20.470
2023-05-18 16:26:26.494,0.74,109,0.13,2023-05-18 16:26:26.494
2023-05-18 16:26:32.251,0.74,109,0.13,2023-05-18 16:26:32.251
2023-05-18 16:26:37.960,0.74,109,0.13,2023-05-18 16:26:37.960
2023-05-18 16:26:44.173,0.74,109,0.13,2023-05-18 16:26:44.173
2023-05-18 16:26:56.534,0.74,109,0.13,2023-05-18 16:26:56.534
2023-05-18 16:27:07.735,0.74,109,0.13,2023-05-18 16:27:07.735
2023-05-18 16:27:13.885,0.74,109,0.13,2023-05-18 16:27:13.885
2023-05-18 16:27:19.559,0.74,109,0.13,2023-05-18 16:27:19.559
2023-05-18 16:27:25.971,0.74,109,0.13,2023-05-18 16:27:25.971
2023-05-18 16:27:31.722,0.74,109,0.13,2023-05-18 16:27:31.722
2023-05-18 16:27:37.486,0.74,109,0.13,2023-05-18 16:27:37.486
2023-05-18 16:27:44.241,0.74,109,0.13,2023-05-18 16:27:44.241
2023-05-18 16:28:08.219,0.74,109,0.13,2023-05-18 16:28:08.219
2023-05-18 16:28:18.761,0.74,109,0.13,2023-05-18 16:28:18.761
2023-05-18 16:28:30.089,0.74,109,0.13,2023-05-18 16:28:30.089
2023-05-18 16:28:46.431,0.74,109,0.13,2023-05-18 16:28:46.431
2023-05-18 16:28:52.520,0.74,109,0.13,2023-05-18 16:28:52.520
2023-05-18 16:28:58.471,0.74,109,0.13,2023-05-18 16:28:58.471
2023-05-18 16:29:04.204,0.74,109,0.13,2023-05-18 16:29:04.204
2023-05-18 16:29:09.995,0.74,109,0.13,2023-05-18 16:29:09.995
2023-05-18 16:29:15.510,0.74,109,0.13,2023-05-18 16:29:15.510
2023-05-18 16:29:21.362,0.74,109,0.13,2023-05-18 16:29:21.362
2023-05-18 16:29:28.003,0.74,109,0.13,2023-05-18 16:29:28.003
2023-05-18 16:29:33.800,0.74,109,0.13,2023-05-18 16:29:33.800
2023-05-18 16:29:39.940,0.75,109,0.13,2023-05-18 16:29:39.940
2023-05-18 16:29:45.696,0.75,109,0.13,2023-05-18 16:29:45.696
2023-05-18 16:29:51.457,0.75,109,0.13,2023-05-18 16:29:51.457
2023-05-18 16:30:03.944,0.75,109,0.13,2023-05-18 16:30:03.944
2023-05-18 16:30:14.726,0.75,109,0.13,2023-05-18 16:30:14.726
2023-05-18 16:30:25.843,0.75,109,0.13,2023-05-18 16:30:25.843
2023-05-18 16:30:32.996,0.75,109,0.13,2023-05-18 16:30:32.996
2023-05-18 16:30:38.788,0.75,109,0.13,2023-05-18 16:30:38.788
2023-05-18 16:30:45.269,0.75,109,0.13,2023-05-18 16:30:45.269
2023-05-18 16:30:50.746,0.74,109,0.13,2023-05-18 16:30:50.746
2023-05-18 16:30:56.647,0.74,109,0.13,2023-05-18 16:30:56.647
2023-05-18 16:31:02.789,0.75,109,0.13,2023-05-18 16:31:02.789
2023-05-18 16:31:08.577,0.75,109,0.13,2023-05-18 16:31:08.577
2023-05-18 16:31:14.256,0.74,109,0.13,2023-05-18 16:31:14.256
2023-05-18 16:31:20.143,0.75,109,0.13,2023-05-18 16:31:20.143
2023-05-18 16:31:25.889,0.75,109,0.13,2023-05-18 16:31:25.889
2023-05-18 16:31:31.542,0.75,109,0.13,2023-05-18 16:31:31.542
2023-05-18 16:31:43.162,0.75,109,0.13,2023-05-18 16:31:43.162
2023-05-18 16:31:53.926,0.75,109,0.13,2023-05-18 16:31:53.926
2023-05-18 16:32:05.526,0.77,109,0.13,2023-05-18 16:32:05.526
2023-05-18 16:32:11.183,0.77,109,0.13,2023-05-18 16:32:11.183
2023-05-18 16:32:17.061,0.77,109,0.13,2023-05-18 16:32:17.061
2023-05-18 16:32:22.821,0.77,109,0.13,2023-05-18 16:32:22.821
2023-05-18 16:32:28.556,0.77,109,0.13,2023-05-18 16:32:28.556
2023-05-18 16:32:34.666,0.77,109,0.13,2023-05-18 16:32:34.666
2023-05-18 16:32:40.655,0.75,109,0.13,2023-05-18 16:32:40.655
2023-05-18 16:32:46.417,0.75,109,0.13,2023-05-18 16:32:46.417
2023-05-18 16:32:52.084,0.75,109,0.13,2023-05-18 16:32:52.084
2023-05-18 16:32:57.723,0.75,109,0.13,2023-05-18 16:32:57.723
2023-05-18 16:33:03.465,0.75,109,0.13,2023-05-18 16:33:03.465
2023-05-18 16:33:09.860,0.75,109,0.13,2023-05-18 16:33:09.860
2023-05-18 16:33:15.538,0.75,109,0.13,2023-05-18 16:33:15.538
2023-05-18 16:33:21.734,0.75,109,0.13,2023-05-18 16:33:21.734
